"pin [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
0,2.03075,-0.00701564907275827,-45.1011326181339
0,2.031,-0.00701751065205789,-45.1070679827164
0,2.03125,-0.00701937285131663,-45.1130036149639
0,2.0315,-0.00702123567080416,-45.118939515088
0,2.03175,-0.00702309911078531,-45.1248756833004
0,2.032,-0.00702496317153265,-45.1308121198129
0,2.03225,-0.00702682785331874,-45.1367488248378
0,2.0325,-0.00702869315640455,-45.1426857985875
0,2.03275,-0.00703055908107134,-45.1486230412749
0,2.033,-0.00703242562758104,-45.1545605531128
0,2.03325,-0.00703429279620911,-45.1604983343145
0,2.0335,-0.0070361605872204,-45.1664363850937
0,2.03375,-0.00703802900089326,-45.1723747056639
0,2.034,-0.00703989803749059,-45.1783132962394
0,2.03425,-0.00704176769729269,-45.1842521570345
0,2.0345,-0.00704363798056632,-45.1901912882636
0,2.03475,-0.00704550888757923,-45.1961306901417
0,2.035,-0.00704738041861266,-45.2020703628839
0,2.03525,-0.00704925257393242,-45.2080103067055
0,2.0355,-0.00705112535381398,-45.2139505218223
0,2.03575,-0.00705299875852699,-45.2198910084501
0,2.036,-0.0070548727883479,-45.2258317668051
0,2.03625,-0.00705674744354636,-45.2317727971038
0,2.0365,-0.00705862272439688,-45.2377140995629
0,2.03675,-0.00706049863117395,-45.2436556743994
0,2.037,-0.00706237516415111,-45.2495975218306
0,2.03725,-0.00706425232360381,-45.255539642074
0,2.0375,-0.00706613010980462,-45.2614820353474
0,2.03775,-0.00706800852302805,-45.2674247018689
0,2.038,-0.00706988756354956,-45.2733676418568
0,2.03825,-0.00707176723163978,-45.2793108555298
0,2.0385,-0.00707364752758094,-45.2852543431068
0,2.03875,-0.0070755284516456,-45.2911981048069
0,2.039,-0.0070774100041073,-45.2971421408496
0,2.03925,-0.00707929218524634,-45.3030864514545
0,2.0395,-0.00708117499533238,-45.3090310368417
0,2.03975,-0.00708305843464765,-45.3149758972315
0,2.04,-0.00708494250346762,-45.3209210328444
0,2.04025,-0.00708682720206678,-45.3268664439011
0,2.0405,-0.00708871253071965,-45.3328121306229
0,2.04075,-0.00709059848970844,-45.338758093231
0,2.041,-0.00709248507931152,-45.3447043319471
0,2.04125,-0.00709437229980532,-45.3506508469931
0,2.0415,-0.00709626015146242,-45.3565976385913
0,2.04175,-0.00709814863456793,-45.3625447069641
0,2.042,-0.0071000377493983,-45.3684920523343
0,2.04225,-0.00710192749622899,-45.3744396749249
0,2.0425,-0.00710381787534319,-45.3803875749592
0,2.04275,-0.0071057088870183,-45.3863357526608
0,2.043,-0.00710760053153077,-45.3922842082537
0,2.04325,-0.00710949280916281,-45.3982329419619
0,2.0435,-0.00711138572019763,-45.40418195401
0,2.04375,-0.00711327926490972,-45.4101312446226
0,2.044,-0.00711517344358036,-45.4160808140247
0,2.04425,-0.00711706825649273,-45.4220306624417
0,2.0445,-0.00711896370392521,-45.4279807900991
0,2.04475,-0.00712085978616003,-45.4339311972227
0,2.045,-0.00712275650347748,-45.4398818840388
0,2.04525,-0.00712465385615883,-45.4458328507737
0,2.0455,-0.00712655184448535,-45.4517840976541
0,2.04575,-0.00712845046874216,-45.4577356249071
0,2.046,-0.0071303497292086,-45.4636874327599
0,2.04625,-0.00713224962616498,-45.4696395214402
