Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.3795,-0.008878365,-52.90744535
2.381,-0.008892765,-52.94488846
2.3825,-0.008907202,-52.98235803
2.384,-0.008921677,-53.01985431
2.3855,-0.00893619,-53.05737756
2.387,-0.008950741,-53.09492803
2.3885,-0.008965331,-53.132506
2.39,-0.00897996,-53.17011173
2.3915,-0.008994628,-53.20774548
2.393,-0.009009335,-53.24540754
2.3945,-0.009024082,-53.28309819
2.396,-0.009038869,-53.3208177
2.3975,-0.009053696,-53.35856637
2.399,-0.009068564,-53.39634449
2.4005,-0.009083472,-53.43415234
2.402,-0.009098422,-53.47199024
2.4035,-0.009113412,-53.50985848
2.405,-0.009128445,-53.54775738
2.4065,-0.009143519,-53.58568724
2.408,-0.009158636,-53.62364838
2.4095,-0.009173795,-53.66164113
2.411,-0.009188997,-53.69966581
2.4125,-0.009204242,-53.73772275
2.414,-0.009219531,-53.77581229
2.4155,-0.009234864,-53.81393477
2.417,-0.00925024,-53.85209054
2.4185,-0.009265662,-53.89027995
2.42,-0.009281128,-53.92850335
2.4215,-0.00929664,-53.96676111
2.423,-0.009312197,-54.00505359
2.4245,-0.0093278,-54.04338118
2.426,-0.00934345,-54.08174424
2.4275,-0.009359146,-54.12014316
2.429,-0.00937489,-54.15857834
2.4305,-0.009390681,-54.19705016
2.432,-0.00940652,-54.23555904
2.4335,-0.009422407,-54.27410538
2.435,-0.009438343,-54.3126896
2.4365,-0.009454328,-54.35131211
2.438,-0.009470363,-54.38997336
2.4395,-0.009486448,-54.42867376
2.441,-0.009502583,-54.46741377
2.4425,-0.00951877,-54.50619384
2.444,-0.009535008,-54.54501442
2.4455,-0.009551297,-54.58387597
2.447,-0.009567639,-54.62277897
2.4485,-0.009584034,-54.66172389
2.45,-0.009600482,-54.70071123
2.4515,-0.009616984,-54.73974147
2.453,-0.00963354,-54.77881512
2.4545,-0.009650151,-54.81793269
2.456,-0.009666818,-54.8570947
2.4575,-0.00968354,-54.89630168
2.459,-0.009700319,-54.93555417
2.4605,-0.009717155,-54.9748527
2.462,-0.009734048,-55.01419784
2.4635,-0.009751,-55.05359015
2.465,-0.009768011,-55.09303021
2.4665,-0.009785081,-55.13251859
2.468,-0.009802211,-55.17205589
2.4695,-0.009819401,-55.21164272
2.471,-0.009836653,-55.25127969
2.4725,-0.009853967,-55.29096742
2.474,-0.009871343,-55.33070655
2.4755,-0.009888783,-55.37049773
2.477,-0.009906287,-55.41034161
2.4785,-0.009923855,-55.45023887
2.48,-0.009941489,-55.49019019
2.4815,-0.009959189,-55.53019626
2.483,-0.009976956,-55.57025778
2.4845,-0.009994791,-55.61037548
2.486,-0.010012694,-55.65055008
2.4875,-0.010030666,-55.69078234
2.489,-0.010048708,-55.73107301
2.4905,-0.010066822,-55.77142287
2.492,-0.010085007,-55.81183269
2.4935,-0.010103264,-55.85230329
2.495,-0.010121596,-55.89283547
2.4965,-0.010140001,-55.93343007
2.498,-0.010158482,-55.97408794
2.4995,-0.010177039,-56.01480994
2.501,-0.010195674,-56.05559694
2.5025,-0.010214386,-56.09644984
2.504,-0.010233178,-56.13736956
2.5055,-0.010252051,-56.17835703
2.507,-0.010271004,-56.21941319
2.5085,-0.01029004,-56.26053901
2.51,-0.01030916,-56.30173547
2.5115,-0.010328364,-56.34300359
2.513,-0.010347654,-56.38434437
2.5145,-0.010367031,-56.42575888
2.516,-0.010386496,-56.46724817
2.5175,-0.010406051,-56.50881333
2.519,-0.010425696,-56.55045546
2.5205,-0.010445433,-56.59217571
2.522,-0.010465264,-56.63397521
2.5235,-0.010485189,-56.67585516
2.525,-0.01050521,-56.71781674
2.5265,-0.010525329,-56.75986118
2.528,-0.010545547,-56.80198974
2.5295,-0.010565865,-56.84420369
2.531,-0.010586285,-56.88650433
2.5325,-0.010606808,-56.928893
2.534,-0.010627437,-56.97137105
2.5355,-0.010648172,-57.01393987
2.537,-0.010669016,-57.05660088
2.5385,-0.01068997,-57.09935553
2.54,-0.010711035,-57.14220528
2.5415,-0.010732215,-57.18515166
2.543,-0.01075351,-57.22819621
2.5445,-0.010774923,-57.27134051
2.546,-0.010796455,-57.31458615
2.5475,-0.010818108,-57.35793481
2.549,-0.010839885,-57.40138815
2.5505,-0.010861788,-57.4449479
2.552,-0.010883818,-57.48861582
2.5535,-0.010905979,-57.53239372
2.555,-0.010928271,-57.57628343
2.5565,-0.010950699,-57.62028683
2.558,-0.010973263,-57.66440586
2.5595,-0.010995967,-57.70864249
2.561,-0.011018814,-57.75299873
2.5625,-0.011041805,-57.79747665
2.564,-0.011064943,-57.84207836
2.5655,-0.011088231,-57.88680603
2.567,-0.011111673,-57.93166187
2.5685,-0.011135271,-57.97664816
2.57,-0.011159027,-58.02176721
2.5715,-0.011182946,-58.0670214
2.573,-0.011207029,-58.11241318
2.5745,-0.011231282,-58.15794504
2.576,-0.011255706,-58.20361954
2.5775,-0.011280305,-58.24943931
2.579,-0.011305084,-58.29540703
2.5805,-0.011330045,-58.34152546
2.582,-0.011355193,-58.38779743
2.5835,-0.011380531,-58.43422585
2.585,-0.011406063,-58.48081367
2.5865,-0.011431794,-58.52756396
2.588,-0.011457728,-58.57447985
2.5895,-0.011483869,-58.62156454
2.591,-0.011510222,-58.66882134
2.5925,-0.011536791,-58.71625363
2.594,-0.011563582,-58.76386488
2.5955,-0.011590599,-58.81165867
2.597,-0.011617848,-58.85963866
2.5985,-0.011645334,-58.90780861
2.6,-0.011673062,-58.9561724
2.6015,-0.011701038,-59.004734
2.603,-0.011729268,-59.0534975
2.6045,-0.011757758,-59.1024671
2.606,-0.011786514,-59.15164712
2.6075,-0.011815544,-59.20104201
2.609,-0.011844853,-59.25065633
2.6105,-0.011874448,-59.30049479
2.612,-0.011904338,-59.35056222
2.6135,-0.011934528,-59.40086362
2.615,-0.011965028,-59.4514041
2.6165,-0.011995844,-59.50218894
2.618,-0.012026986,-59.5532236
2.6195,-0.012058462,-59.60451366
2.621,-0.01209028,-59.6560649
2.6225,-0.01212245,-59.70788328
2.624,-0.012154982,-59.75997492
2.6255,-0.012187885,-59.81234615
2.627,-0.01222117,-59.86500349
2.6285,-0.012254847,-59.91795367
2.63,-0.012288928,-59.97120364
2.6315,-0.012323424,-60.02476056
2.633,-0.012358348,-60.07863183
2.6345,-0.01239371,-60.13282509
2.636,-0.012429525,-60.18734824
2.6375,-0.012465806,-60.24220941
2.639,-0.012502567,-60.29741704
2.6405,-0.012539823,-60.35297985
2.642,-0.012577588,-60.40890682
