"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
-15,2.7435,-0.00591199508984989,-70.2786154925533
-15,2.744,-0.00591303042632607,-70.291479414186
-15,2.7445,-0.0059140659145054,-70.3043433627443
-15,2.745,-0.00591510155441686,-70.3172073382291
-15,2.7455,-0.00591613734609141,-70.3300713406412
-15,2.746,-0.00591717328955611,-70.3429353699817
-15,2.7465,-0.00591820938484671,-70.3557994262513
-15,2.747,-0.00591924563199224,-70.3686635094509
-15,2.7475,-0.00592028203102554,-70.3815276195814
-15,2.748,-0.00592131858197852,-70.3943917566437
-15,2.7485,-0.00592235528488694,-70.4072559206387
-15,2.749,-0.00592339213978076,-70.4201201115672
-15,2.7495,-0.00592442914669285,-70.4329843294302
-15,2.75,-0.00592546630566089,-70.4458485742284
-15,2.7505,-0.00592650361671776,-70.4587128459627
-15,2.751,-0.00592754107989632,-70.471577144634
-15,2.7515,-0.00592857869523329,-70.4844414702433
-15,2.752,-0.00592961646276249,-70.4973058227912
-15,2.7525,-0.00593065438251776,-70.5101702022788
-15,2.753,-0.00593169245453293,-70.5230346087068
-15,2.7535,-0.00593273067885051,-70.5358990420761
-15,2.754,-0.00593376905549662,-70.5487635023877
-15,2.7545,-0.00593480758451182,-70.5616279896422
-15,2.755,-0.005935846265929,-70.5744925038407
-15,2.7555,-0.00593688509978583,-70.587357044984
-15,2.756,-0.00593792408611808,-70.6002216130728
-15,2.7565,-0.00593896322495668,-70.6130862081081
-15,2.757,-0.00594000251634221,-70.6259508300908
-15,2.7575,-0.00594104196030562,-70.6388154790216
-15,2.758,-0.00594208155688941,-70.6516801549014
-15,2.7585,-0.00594312130612451,-70.6645448577311
-15,2.759,-0.00594416120804284,-70.6774095875115
-15,2.7595,-0.00594520126268303,-70.6902743442435
-15,2.76,-0.00594624147008665,-70.7031391279279
-15,2.7605,-0.0059472818302798,-70.7160039385655
-15,2.761,-0.00594832234330113,-70.7288687761572
-15,2.7615,-0.00594936300918834,-70.7417336407039
-15,2.762,-0.00595040382797622,-70.7545985322063
-15,2.7625,-0.00595144479969763,-70.7674634506653
-15,2.763,-0.00595248592438834,-70.7803283960817
-15,2.7635,-0.00595352720208699,-70.7931933684564
-15,2.764,-0.00595456863282839,-70.8060583677901
-15,2.7645,-0.00595561021664346,-70.8189233940838
-15,2.765,-0.00595665195357086,-70.8317884473383
-15,2.7655,-0.00595769384364443,-70.8446535275543
-15,2.766,-0.00595873588690185,-70.8575186347327
-15,2.7665,-0.00595977808337791,-70.8703837688743
-15,2.767,-0.00596082043310355,-70.88324892998
-15,2.7675,-0.00596186293612033,-70.8961141180504
-15,2.768,-0.00596290559245627,-70.9089793330866
-15,2.7685,-0.00596394840215101,-70.9218445750893
-15,2.769,-0.00596499136524125,-70.9347098440592
-15,2.7695,-0.00596603448175795,-70.9475751399972
-15,2.77,-0.00596707775173686,-70.9604404629042
-15,2.7705,-0.00596812117521567,-70.9733058127808
-15,2.771,-0.00596916475222531,-70.986171189628
-15,2.7715,-0.00597020848280541,-70.9990365934464
-15,2.772,-0.00597125236698497,-71.0119020242371
-15,2.7725,-0.0059722964048065,-71.0247674820006
-15,2.773,-0.00597334059629805,-71.0376329667378
-15,2.7735,-0.00597438494149633,-71.0504984784496
-15,2.774,-0.00597542944043712,-71.0633640171366
-15,2.7745,-0.00597647409315616,-71.0762295827997
-15,2.775,-0.00597751889968827,-71.0890951754397
-15,2.7755,-0.00597856386006436,-71.1019607950574
-15,2.776,-0.00597960897432213,-71.1148264416535
-15,2.7765,-0.00598065424249734,-71.1276921152289
-15,2.777,-0.00598169966462189,-71.1405578157842
-15,2.7775,-0.00598274524073444,-71.1534235433204
-15,2.778,-0.005983790970864,-71.1662892978381
-15,2.7785,-0.00598483685504727,-71.1791550793381
-15,2.779,-0.0059858828933239,-71.1920208878213
-15,2.7795,-0.00598692908571998,-71.2048867232884
-15,2.78,-0.00598797543227804,-71.2177525857401
-15,2.7805,-0.00598902193302708,-71.2306184751772
-15,2.781,-0.00599006858800478,-71.2434843916005
-15,2.7815,-0.00599111539724209,-71.2563503350108
