Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.7995,-0.018099123,-62.42438838
2.801,-0.01832796,-62.51334583
2.8025,-0.018583195,-62.60708517
2.804,-0.018869674,-62.70626281
2.8055,-0.019193424,-62.81166111
2.807,-0.019562011,-62.92422012
2.8085,-0.01998504,-63.04507933
2.81,-0.020474852,-63.17563363
2.8115,-0.021047527,-63.31760896
2.813,-0.021724326,-63.47316673
2.8145,-0.022533842,-63.64505038
2.816,-0.023515274,-63.83679524
2.8175,-0.024723524,-64.05303637
2.819,-0.02623744,-64.29997184
2.8205,-0.028173555,-64.58608165
2.822,-0.030710029,-64.92328319
2.8235,-0.034130429,-65.3288668
2.825,-0.038908632,-65.82890295
2.8265,-0.04588578,-66.46461229
2.828,-0.05667378,-67.3052038
2.8295,-0.074689026,-68.47636442
2.831,-0.108251574,-70.23214716
2.8325,-0.182237467,-73.17233695
2.834,-0.400946288,-79.10845227
2.8355,-1.629163029,-96.55233174
2.837,-10.32879011,14.60002312
2.8385,-0.869170029,-36.26595798
2.84,-0.280704949,-47.4996878
2.8415,-0.14122744,-52.01175909
2.843,-0.08830742,-54.42872858
2.8445,-0.062867089,-55.93778048
2.846,-0.048762511,-56.97369525
2.8475,-0.04016017,-57.73233025
2.849,-0.034543143,-58.31469221
2.8505,-0.030682848,-58.77809292
2.852,-0.027922347,-59.15745027
2.8535,-0.025884806,-59.47524461
2.855,-0.024341652,-59.74660021
2.8565,-0.023147787,-59.98206502
2.858,-0.022207552,-60.18921899
2.8595,-0.021455839,-60.37364899
2.861,-0.020847102,-60.53956325
2.8625,-0.020348719,-60.69019176
2.864,-0.019936835,-60.82805482
2.8655,-0.019593686,-60.95514777
2.867,-0.019305827,-61.07307087
2.8685,-0.019062933,-61.18312245
2.87,-0.01885697,-61.28636689
2.8715,-0.018681614,-61.38368505
2.873,-0.018531834,-61.47581217
2.8745,-0.018403585,-61.56336676
2.876,-0.018293588,-61.6468729
2.8775,-0.018199163,-61.72677756
2.879,-0.018118102,-61.80346432
2.8805,-0.018048571,-61.87726419
2.882,-0.017989042,-61.94846432
2.8835,-0.017938228,-62.01731504
2.885,-0.017895043,-62.08403558
2.8865,-0.017858565,-62.14881875
2.888,-0.017828005,-62.2118348
2.8895,-0.017802687,-62.27323461
2.891,-0.017782028,-62.33315242
2.8925,-0.017765526,-62.391708
2.894,-0.017752742,-62.44900859
2.8955,-0.017743295,-62.50515047
2.897,-0.01773685,-62.56022036
2.8985,-0.017733116,-62.61429653
2.9,-0.017731833,-62.66744986
2.9015,-0.017732773,-62.71974464
2.903,-0.017735735,-62.77123935
2.9045,-0.017740539,-62.82198728
2.906,-0.017747026,-62.87203714
2.9075,-0.017755052,-62.92143347
2.909,-0.01776449,-62.97021714
2.9105,-0.017775226,-63.01842568
2.912,-0.017787156,-63.06609364
2.9135,-0.017800188,-63.11325287
2.915,-0.017814238,-63.15993276
2.9165,-0.01782923,-63.20616052
2.918,-0.017845095,-63.25196133
2.9195,-0.017861772,-63.29735854
2.921,-0.017879203,-63.34237386
