"cs_high [mm]","dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
18,-10,2.693,-0.00842443969811338,-101.170463756563
18,-10,2.694,-0.00842701560714794,-101.208187482331
18,-10,2.695,-0.00842959171425792,-101.245911338069
18,-10,2.696,-0.0084321680192852,-101.283635323742
18,-10,2.697,-0.00843474452206585,-101.321359439315
18,-10,2.698,-0.00843732122244368,-101.359083684756
18,-10,2.699,-0.00843989812025766,-101.396808060028
18,-10,2.7,-0.00844247521534388,-101.434532565098
18,-10,2.701,-0.0084450525075442,-101.47225719993
18,-10,2.702,-0.00844762999669375,-101.50998196449
18,-10,2.703,-0.00845020768263245,-101.547706858743
18,-10,2.704,-0.0084527855651935,-101.585431882655
18,-10,2.705,-0.00845536364421684,-101.623157036189
18,-10,2.706,-0.00845794191954047,-101.660882319312
18,-10,2.707,-0.00846052039099662,-101.698607731989
18,-10,2.708,-0.00846309905842039,-101.736333274183
18,-10,2.709,-0.00846567792164884,-101.77405894586
18,-10,2.71,-0.00846825698052093,-101.811784746984
18,-10,2.711,-0.00847083623486117,-101.84951067752
18,-10,2.712,-0.00847341568450948,-101.887236737434
18,-10,2.713,-0.00847599532929713,-101.924962926688
18,-10,2.714,-0.00847857516905729,-101.962689245248
18,-10,2.715,-0.00848115520362508,-102.000415693078
18,-10,2.716,-0.00848373543282595,-102.038142270143
18,-10,2.717,-0.00848631585649985,-102.075868976405
18,-10,2.718,-0.00848889647446837,-102.113595811831
18,-10,2.719,-0.0084914772865676,-102.151322776383
18,-10,2.72,-0.00849405829263263,-102.189049870027
18,-10,2.721,-0.00849663949248314,-102.226777092725
18,-10,2.722,-0.00849922088595521,-102.264504444441
18,-10,2.723,-0.00850180247287139,-102.302231925141
18,-10,2.724,-0.00850438425307163,-102.339959534786
18,-10,2.725,-0.00850696622637558,-102.377687273342
18,-10,2.726,-0.00850954839260872,-102.415415140771
18,-10,2.727,-0.00851213075160615,-102.453143137037
18,-10,2.728,-0.00851471330319042,-102.490871262103
18,-10,2.729,-0.008517296047187,-102.528599515934
18,-10,2.73,-0.00851987898342231,-102.566327898492
18,-10,2.731,-0.0085224621117218,-102.604056409741
18,-10,2.732,-0.0085250454319148,-102.641785049644
18,-10,2.733,-0.00852762894382193,-102.679513818164
18,-10,2.734,-0.00853021264726865,-102.717242715263
18,-10,2.735,-0.00853279654207655,-102.754971740906
18,-10,2.736,-0.00853538062807205,-102.792700895055
18,-10,2.737,-0.00853796490507676,-102.830430177673
18,-10,2.738,-0.00854054937291226,-102.868159588723
18,-10,2.739,-0.00854313403140497,-102.905889128167
18,-10,2.74,-0.00854571888037552,-102.943618795968
18,-10,2.741,-0.00854830391964165,-102.98134859209
18,-10,2.742,-0.00855088914902591,-103.019078516493
18,-10,2.743,-0.00855347456834894,-103.056808569141
18,-10,2.744,-0.00855606017743328,-103.094538749996
18,-10,2.745,-0.00855864597609764,-103.132269059021
18,-10,2.746,-0.00856123196415878,-103.169999496178
18,-10,2.747,-0.00856381814143829,-103.207730061429
18,-10,2.748,-0.00856640450775391,-103.245460754735
