"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
6,2.7045,-0.0192605121731552,168.100830835117
6,2.705,-0.0192632439485325,168.06457426394
6,2.7055,-0.0192659789739269,168.028313606188
6,2.706,-0.0192687173427681,167.992048793106
6,2.7065,-0.0192714591512142,167.955779754316
6,2.707,-0.0192742044982457,167.919506417769
6,2.7075,-0.0192769534857926,167.883228709692
6,2.708,-0.0192797062188085,167.846946554542
6,2.7085,-0.0192824628054035,167.810659874944
6,2.709,-0.0192852233569456,167.774368591643
6,2.7095,-0.0192879879881888,167.738072623441
6,2.71,-0.0192907568173915,167.701771887141
6,2.7105,-0.0192935299664531,167.665466297483
6,2.711,-0.0192963075610412,167.62915576708
6,2.7115,-0.019299089730741,167.59284020635
6,2.712,-0.0193018766092006,167.556519523449
6,2.7125,-0.0193046683342892,167.520193624197
6,2.713,-0.0193074650482549,167.483862412006
6,2.7135,-0.0193102668978906,167.447525787798
6,2.714,-0.0193130740347164,167.411183649928
6,2.7145,-0.0193158866151604,167.374835894099
6,2.715,-0.0193187048007605,167.338482413275
6,2.7155,-0.0193215287583484,167.302123097589
6,2.716,-0.019324358660284,167.265757834252
6,2.7165,-0.0193271946846551,167.229386507453
6,2.717,-0.0193300370155233,167.193008998254
6,2.7175,-0.0193328858431611,167.156625184492
6,2.718,-0.019335741364307,167.120234940661
6,2.7185,-0.01933860378244,167.083838137798
6,2.719,-0.0193414733080376,167.047434643368
6,2.7195,-0.0193443501588948,167.011024321134
6,2.72,-0.0193472345604161,166.97460703103
6,2.7205,-0.0193501267459438,166.938182629023
6,2.721,-0.0193530269570937,166.901750966974
6,2.7215,-0.0193559354441127,166.865311892488
6,2.722,-0.0193588524662574,166.828865248763
6,2.7225,-0.0193617782921781,166.792410874427
6,2.723,-0.01936471320034,166.75594860337
6,2.7235,-0.0193676574794525,166.719478264572
6,2.724,-0.019370611428932,166.682999681915
6,2.7245,-0.0193735753593778,166.646512673998
6,2.725,-0.0193765495930778,166.610017053929
6,2.7255,-0.0193795344645537,166.573512629125
6,2.726,-0.0193825303211127,166.536999201086
6,2.7265,-0.0193855375234401,166.500476565171
6,2.727,-0.0193885564462315,166.463944510353
